video_id	video_title
WgK4UTP0gfU	Best VGM 328 - Breath of Fire II - Breath of Fire
9saTXWj78tY	Best VGM 329 - Katamari Damacy - Lonely Rolling Star
77F1lLI5LZw	Best VGM 330 - Grandia - Ghost Ship
HLl-oMBhiPc	Best VGM 331 - Sailor Moon RPG: Another Story - Silver Moon Cruiser
prRDZPbuDcI	Best VGM 332 - Guilty Gear XX Reload (Korean Version) - Vampire Saga (Slayer's Theme)
sMcx87rq0oA	Best VGM 333 - Seiken Densetsu 3 - Ordinary People
8iBCg85y0K8	Best VGM 334 - Mother 3 - Monkey Delivery Service
5IUXyzqrZsw	Best VGM 335 - Donkey Kong Country 2 - Forest Interlude
in7TUvirruo	Best VGM 337 - Sonic Unleashed - Shamar Town (Day)
I5GznpBjHE4	Best VGM 338 - Soul Blazer - Koibito no Inaiyoru (Lisa's Song)
5oGK9YN0Ux8	Best VGM 339 - Shadow Hearts - Highnoon Fish (Dalian)
rhbGqHurV5I	Best VGM 340 - Castlevania II - Bloody Tears
XKI0-dPmwSo	Best VGM 341 - Shining Force II - Lively Town
jAQGCM-IyOE	Best VGM 342 - Xenosaga - Albedo's Theme
wFM8K7GLFKk	Best VGM 343 - Goldeneye - Facility
TkEH0e07jg8	Best VGM 344 - Secret of Evermore - Mini Boss Battle
O0rVK4H0-Eo	Best VGM 345 - Legaia 2 - Wasteland of Far Away Places
vfRr0Y0QnHo	Best VGM 346 - Super Mario 64 - Snow Mountain
LSfbb3WHClE	Best VGM 347 - No More Heroes - Pleather for Breakfast (Duel Against Ranked #2: Bad Girl)
fRy6Ly5A5EA	Best VGM 348 - Legend of Dragoon - Boss Battle 1
-AesqnudNuw	Best VGM 349 - Mega Man 9 - Splash Blue (Splash Woman Stage)
DZaltYb0hjU	Best VGM 350 - Western Lords - Coyote Forest
qtrFSnyvEX0	Best VGM 351 - Demon's Crest - Beyond the Colosseum
99RVgsDs1W0	Best VGM 352 - Zelda : Twilight Princess - Celestia (City in the Sky)
Y5cXKVt3wOE	Best VGM 353 - Souten no Celenaria - Steam City Under the Grayish Sky
fH-lLbHbG-A	Best VGM 354 - TMNT IV : Turtles in Time - Sewer Surfin'
